image_id,image_path,alpha,theta_gt,raw_theta_shift,theta_attack_hat,theta_hat_raw,theta_hat,angle_sign,angle_error,angle_error_mod180,best_score,top2_score,corr_margin,ambiguity_resolved,candidate_score_0,candidate_score_180,diff_theta_hat,diff_angle_error,diff_best_score,diff_corr_margin,diff_rot_theta_shift,diff_rot_attack_hat,diff_rot_attack_error,diff_rot_theta_hat,diff_rot_angle_error,diff_rot_best_score,diff_rot_corr_margin,psnr_anchor,ssim_anchor,psnr_clean,ssim_clean,vae_mse_anchor,vae_mse_clean,vae_mse_symmetric,vae_cos_anchor,vae_cos_clean,vae_cos_symmetric,runtime_ms
orientation_batch_06,real_watermarked_images_sd15_512/orientation_batch_06.png,0.18,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,181.87425231933594,181.87425231933594,0.0,False,nan,nan,0.0,0.0,258.5223083496094,0.0,0.0,0.0,0.0,0.0,0.0,258.5223083496094,0.0,42.17593398969194,0.9990077129187206,12.262540605602839,0.09489220928026197,3.9193115234375,0.00019808069919236004,2.5042991638183594,0.9185256962985306,0.9999959450405781,0.9473550763309159,1345.9374997764826
orientation_batch_07,real_watermarked_images_sd15_512/orientation_batch_07.png,0.12,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,168.37423706054688,168.37423706054688,0.0,False,nan,nan,0.0,0.0,258.4042053222656,0.0,0.0,0.0,0.0,0.0,0.0,258.4042053222656,0.0,45.06688952793773,0.9994701353064371,11.659415772205406,-0.1026523094949075,2.9391326904296875,9.638702613301575e-05,1.9151395559310913,0.9362239633157053,0.9999979232846834,0.9579089854466688,1273.2728142291307
orientation_batch_07,real_watermarked_images_sd15_512/orientation_batch_07.png,0.15,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,186.8399658203125,186.8399658203125,0.0,False,nan,nan,0.0,0.0,258.4800720214844,0.0,0.0,0.0,0.0,0.0,0.0,258.4800720214844,0.0,43.12877055082911,0.9991723263347684,11.655515267546486,-0.10251552216812003,3.502178192138672,0.00017887316062115133,2.311954975128174,0.923834883505471,0.9999961460272099,0.9489728807300597,1362.7460040152073
orientation_batch_07,real_watermarked_images_sd15_512/orientation_batch_07.png,0.18,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,201.3424072265625,201.3424072265625,0.0,False,nan,nan,0.0,0.0,258.5513610839844,0.0,0.0,0.0,0.0,0.0,0.0,258.5513610839844,0.0,41.54520083421544,0.9988085703307225,11.650620188451981,-0.1023428030444287,4.032749176025391,0.00032153091160580516,2.6856205463409424,0.9120933389275461,0.999993072173358,0.9404619648061348,1339.500516653061
orientation_batch_08,real_watermarked_images_sd15_512/orientation_batch_08.png,0.12,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,152.51913452148438,152.51913452148438,0.0,False,nan,nan,0.0,0.0,258.1225280761719,0.0,0.0,0.0,0.0,0.0,0.0,258.1225280761719,0.0,45.54947211062617,0.9995156890701993,12.461663531015004,0.006699052236866759,0.2557588517665863,1.2749480447382666e-05,0.1736818253993988,0.9941410963356727,0.9999997092870145,0.9960616976140689,1425.3203682601452
orientation_batch_08,real_watermarked_images_sd15_512/orientation_batch_08.png,0.15,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,171.4255828857422,171.4255828857422,0.0,False,nan,nan,0.0,0.0,258.12774658203125,0.0,0.0,0.0,0.0,0.0,0.0,258.12774658203125,0.0,43.611468142860645,0.9992435660693548,12.457267794229237,0.006772252704166736,0.43948501348495483,2.1071458832011558e-05,0.3014684319496155,0.989896407791753,0.999999519443359,0.9931359787637108,1395.1947018504143
orientation_batch_08,real_watermarked_images_sd15_512/orientation_batch_08.png,0.18,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,186.66636657714844,186.66636657714844,0.0,False,nan,nan,0.0,0.0,258.1299743652344,0.0,0.0,0.0,0.0,0.0,0.0,258.1299743652344,0.0,42.02798907128641,0.9989112248330322,12.451778945725021,0.006858460781548087,0.6799964904785156,3.205651228199713e-05,0.4810747802257538,0.9843064361369822,0.9999992688361146,0.988984697207488,1392.1871613711119
orientation_batch_09,real_watermarked_images_sd15_512/orientation_batch_09.png,0.12,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,165.73971557617188,165.73971557617188,0.0,False,nan,nan,0.0,0.0,258.68743896484375,0.0,0.0,0.0,0.0,0.0,0.0,258.68743896484375,0.0,45.36856076668465,0.9995792376036429,11.787678416062901,0.08275043432023026,2.959468126296997,6.465839396696538e-05,1.885959506034851,0.9387212287297184,0.9999986763014603,0.9606228968170962,1402.0315799862146
orientation_batch_09,real_watermarked_images_sd15_512/orientation_batch_09.png,0.15,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,182.1601104736328,182.1601104736328,0.0,False,nan,nan,0.0,0.0,258.7218322753906,0.0,0.0,0.0,0.0,0.0,0.0,258.7218322753906,0.0,43.43054130582068,0.9993426980255745,11.783989916119086,0.08268406731957813,3.600048065185547,9.78279858827591e-05,2.3184871673583984,0.9252626331441506,0.9999979973989938,0.9513782912640775,1379.7378987073898
orientation_batch_09,real_watermarked_images_sd15_512/orientation_batch_09.png,0.18,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,195.38072204589844,195.38072204589844,0.0,False,nan,nan,0.0,0.0,258.7536315917969,0.0,0.0,0.0,0.0,0.0,0.0,258.7536315917969,0.0,41.847056514970056,0.9990537285481295,11.779352496705378,0.08260967297316864,4.115760803222656,0.000149999963468872,2.7336056232452393,0.9142991511977023,0.9999969295421955,0.9424322188063526,1387.7394385635853
